Date,Open,High,Low,Close,Volume
2023-09-13,133.98,135.78,133.05,135.59,20749500
2023-09-14,136.47,137.56,135.12,136.97,24751000
2023-09-15,136.85,137.38,135.36,136.27,38919600
2023-09-18,135.49,138.02,135.49,137.08,21861300
2023-09-19,136.29,137.28,135.5,136.91,20353700
2023-09-20,136.95,136.95,132.52,132.64,29927500
2023-09-21,130.36,131.15,129.0,129.37,31503900
2023-09-22,129.69,130.95,128.54,129.18,26397300
2023-09-25,128.77,130.09,127.9,130.04,20094600
2023-09-26,128.71,129.29,126.18,127.52,25718700
2023-09-27,127.52,129.83,127.52,129.47,22746500
2023-09-28,128.78,132.21,128.73,131.23,22513100
2023-09-29,132.19,132.95,129.29,129.79,30859800
2023-10-02,130.13,133.32,130.09,133.07,22288000
2023-10-03,132.84,133.16,130.76,131.34,22989400
2023-10-04,131.7,134.46,131.44,134.13,26752300
2023-10-05,133.96,134.38,132.36,133.96,19832600
2023-10-06,132.91,137.03,132.91,136.45,27597600
2023-10-09,135.82,137.8,134.5,137.29,19278100
2023-10-10,137.36,138.57,136.2,136.93,27786600
2023-10-11,137.44,139.95,137.44,139.4,25884300
2023-10-12,139.89,140.06,137.13,137.83,24765500
2023-10-13,138.24,138.85,135.5,136.23,23420500
2023-10-16,137.04,138.49,136.86,137.96,28501900
2023-10-17,137.49,138.75,136.06,138.57,23515800
2023-10-18,138.31,139.57,136.25,136.83,23375000
2023-10-19,137.36,138.52,136.25,136.62,26066000
2023-10-20,136.2,136.74,133.97,134.49,26335700
2023-10-23,133.93,136.53,132.85,135.38,26317900
2023-10-24,136.7,138.22,136.29,137.67,44814300
2023-10-25,127.11,127.26,124.04,124.58,84366200
2023-10-26,122.26,123.31,120.28,121.28,57061100
2023-10-27,121.87,122.3,119.22,121.17,44566500
2023-10-30,122.2,124.37,121.74,123.44,28940100
2023-10-31,124.03,124.34,121.68,123.06,26292300
2023-11-01,123.05,125.45,122.71,125.41,30082400
2023-11-02,127.37,127.92,125.89,126.44,27124600
2023-11-03,126.97,128.47,126.81,128.04,26393100
2023-11-06,127.99,129.27,127.62,129.18,19052700
2023-11-07,129.64,130.83,128.82,129.9,29757300
2023-11-08,129.9,131.13,129.71,130.76,26425800
2023-11-09,130.88,131.46,129.0,129.17,23747800
2023-11-10,129.03,131.71,128.35,131.5,26913300
2023-11-13,130.7,131.5,130.17,131.01,18324800
2023-11-14,133.09,134.59,132.23,132.52,32395200
2023-11-15,133.76,133.92,132.48,133.52,23861500
2023-11-16,134.08,136.1,133.22,135.81,28013200
2023-11-17,134.89,134.94,132.55,134.2,37240600
2023-11-20,132.59,135.54,132.52,135.13,27815500
2023-11-21,135.17,136.06,134.85,135.85,22635300
2023-11-22,136.34,138.28,136.34,137.35,17813900
2023-11-24,136.9,137.0,134.88,135.57,12514300
2023-11-27,134.91,137.29,134.89,135.29,23436500
2023-11-28,134.96,136.12,134.31,136.08,18730000
2023-11-29,136.44,137.16,133.73,133.88,23967200
2023-11-30,133.94,134.44,130.2,131.44,38988300
2023-12-01,130.78,131.03,129.6,130.78,31442300
2023-12-04,128.82,128.96,126.85,128.21,36669900
2023-12-05,127.89,131.06,127.2,129.92,27384800
2023-12-06,130.36,130.76,128.82,128.95,23576200
2023-12-07,133.93,137.42,133.6,135.81,56767100
2023-12-08,133.1,135.28,132.93,133.88,32260100
2023-12-11,131.29,132.25,130.28,132.2,31138000
2023-12-12,130.73,131.91,130.18,131.43,29032800
2023-12-13,132.29,132.41,130.49,131.48,30104800
2023-12-14,132.29,132.62,128.63,130.86,38722400
2023-12-15,130.54,132.42,130.1,131.51,50847100
2023-12-18,131.54,136.03,131.34,134.69,32258000
2023-12-19,135.72,136.34,134.96,135.53,25476800
2023-12-20,137.83,140.54,136.94,137.21,49107200
2023-12-21,138.35,139.54,138.04,139.27,27488300
