Date,Open,High,Low,Close,Volume
2024-04-16,1442.67,1460.37,1440.27,1454.98,9366184
2024-04-18,1452.75,1475.08,1448.63,1453.57,19005692
2024-04-19,1446.07,1463.17,1432.42,1459.32,15741778
2024-04-22,1461.63,1471.93,1457.02,1468.98,10350362
2024-04-23,1468.13,1482.53,1444.86,1448.6,14605554
2024-04-24,1452.75,1457.76,1438.85,1439.52,10462776
2024-04-25,1431.9,1457.19,1430.91,1449.25,15943926
2024-04-26,1453.19,1454.24,1439.35,1441.88,9413848
2024-04-29,1439.35,1457.12,1439.35,1454.26,7247974
2024-04-30,1457.21,1472.18,1452.13,1456.22,11474262
2024-05-02,1461.19,1466.47,1453.37,1455.78,14512646
2024-05-03,1460.19,1464.11,1405.75,1423.46,17226958
2024-05-06,1424.95,1429.42,1407.58,1409.1,7394208
2024-05-07,1405.57,1410.31,1381.77,1391.18,14517472
2024-05-08,1387.23,1422.42,1387.23,1408.13,9439002
2024-05-09,1402.62,1413.29,1379.79,1383.88,11009612
2024-05-10,1386.49,1399.64,1377.88,1397.08,10505096
2024-05-13,1389.61,1396.64,1373.83,1392.39,8456620
2024-05-14,1390.68,1416.59,1389.74,1409.64,7188300
2024-05-15,1410.06,1419.47,1402.64,1405.87,5046534
2024-05-16,1408.13,1417.01,1387.75,1414.88,14711774
2024-05-17,1412.59,1426.64,1402.87,1425.15,10916476
2024-05-21,1415.13,1431.23,1415.13,1425.57,11176128
2024-05-22,1425.72,1457.98,1425.72,1449.92,10281604
2024-05-23,1447.83,1481.26,1444.31,1475.13,14608260
2024-05-24,1472.72,1477.56,1465.25,1469.37,7094776
2024-05-27,1469.35,1473.99,1450.81,1455.48,6629010
2024-05-28,1457.21,1467.64,1442.08,1445.5,7820162
2024-05-29,1435.87,1447.29,1427.88,1430.19,7383556
2024-05-30,1424.95,1429.82,1409.67,1414.38,13206858
2024-05-31,1420.78,1431.65,1411.8,1419.89,31069832
2024-06-03,1472.1,1503.37,1448.28,1499.23,21527942
2024-06-04,1487.04,1487.04,1349.31,1387.01,36709098
2024-06-05,1411.55,1420.64,1373.93,1410.31,17464890
2024-06-06,1424.46,1433.09,1410.91,1421.08,17855722
2024-06-07,1418.0,1461.19,1416.02,1459.15,18558696
2024-06-10,1459.15,1482.38,1457.29,1460.59,9251760
2024-06-11,1458.21,1462.85,1443.99,1445.97,11774902
2024-06-12,1446.79,1465.16,1444.48,1452.57,10081742
2024-06-13,1461.19,1461.43,1449.37,1454.48,9181160
2024-06-14,1459.2,1468.8,1446.52,1466.69,8157998
2024-06-18,1476.42,1476.47,1460.54,1470.14,7196766
2024-06-19,1476.57,1476.57,1445.3,1447.93,8725874
2024-06-20,1448.28,1471.96,1439.45,1462.87,16113776
2024-06-21,1462.8,1463.87,1429.99,1443.52,31170360
2024-06-24,1434.9,1438.85,1426.94,1430.88,8878386
2024-06-25,1432.4,1445.23,1430.41,1443.47,7045386
2024-06-26,1435.43,1507.81,1434.51,1502.9,22014882
2024-06-27,1502.63,1526.2,1494.94,1519.3,28383030
2024-06-28,1519.78,1569.38,1519.78,1553.9,28957336
2024-07-01,1551.05,1567.8,1544.25,1548.69,7724306
2024-07-02,1557.97,1561.94,1545.56,1553.68,7749246
2024-07-03,1554.82,1563.43,1531.44,1541.02,9049620
2024-07-04,1545.56,1555.98,1539.41,1542.61,6837176
2024-07-05,1542.41,1586.76,1536.63,1576.95,12269710
2024-07-08,1577.33,1596.98,1570.9,1589.14,9500806
2024-07-09,1585.86,1588.74,1568.89,1578.59,6960002
2024-07-10,1583.28,1585.76,1551.67,1572.59,7134578
2024-07-11,1575.84,1592.46,1558.96,1569.04,11940946
2024-07-12,1572.86,1593.36,1562.93,1584.99,12924784
2024-07-15,1592.66,1594.05,1573.85,1585.49,5329688
2024-07-16,1581.79,1588.24,1557.6,1564.67,9386838
2024-07-18,1564.42,1582.19,1546.38,1575.02,12298374
2024-07-19,1574.35,1578.29,1541.39,1543.72,13140390
2024-07-22,1525.96,1526.2,1488.26,1489.65,19674376
2024-07-23,1489.97,1494.69,1452.25,1476.97,18052044
2024-07-24,1474.09,1498.41,1465.55,1484.71,11913362
2024-07-25,1470.12,1489.45,1466.22,1481.44,12519876
2024-07-26,1481.44,1501.31,1479.4,1497.94,9859940
2024-07-29,1500.84,1516.28,1500.67,1508.93,7538550
2024-07-30,1505.88,1513.8,1498.91,1502.03,8228208
2024-07-31,1492.95,1499.35,1490.12,1494.36,10057346
2024-08-01,1500.89,1506.85,1493.25,1504.17,10764222
2024-08-02,1493.94,1498.24,1482.3,1488.31,10268248
2024-08-05,1469.13,1473.0,1422.72,1436.69,17046704
2024-08-06,1444.46,1466.64,1440.66,1445.35,10236186
2024-08-07,1458.21,1461.68,1450.76,1454.06,8174568
2024-08-08,1446.82,1454.24,1435.3,1438.48,12387192
2024-08-09,1449.27,1465.65,1445.3,1463.47,6249776
2024-08-12,1459.2,1462.18,1447.04,1449.89,8184584
2024-08-13,1450.02,1459.27,1447.29,1452.87,6265064
2024-08-14,1452.8,1461.19,1443.02,1451.11,6267466
2024-08-16,1457.86,1469.52,1447.34,1467.34,9416902
2024-08-19,1476.6,1492.34,1474.61,1482.48,13797742
2024-08-20,1491.27,1497.94,1484.1,1490.0,8411808
2024-08-21,1487.31,1501.88,1484.07,1492.71,7769996
2024-08-22,1497.02,1500.51,1484.72,1492.17,10445782
2024-08-23,1497.77,1505.31,1492.46,1494.01,9249654
2024-08-26,1500.98,1516.94,1497.02,1506.58,8816114
2024-08-27,1504.49,1507.45,1493.49,1494.48,6251156
2024-08-28,1499.01,1501.48,1487.06,1492.34,9610286
2024-08-29,1497.12,1530.89,1488.06,1514.87,38335358
2024-08-30,1527.9,1533.6,1497.34,1503.62,41620730
2024-09-02,1504.86,1520.73,1500.63,1510.22,11240852
2024-09-03,1515.2,1516.94,1501.5,1503.12,10923800
2024-09-04,1494.73,1511.46,1493.53,1508.53,11983304
2024-09-05,1513.01,1519.71,1481.13,1487.04,16264168
2024-09-06,1486.56,1491.04,1455.81,1459.0,19394228
2024-09-09,1460.67,1464.08,1449.81,1456.63,9010298
2024-09-10,1454.69,1466.19,1451.78,1455.71,10768260
2024-09-11,1457.23,1462.91,1441.79,1445.73,9760202
2024-09-12,1451.2,1480.09,1440.12,1473.91,22349376
2024-09-13,1470.53,1477.25,1463.65,1466.77,8711328
2024-09-16,1471.67,1475.01,1458.92,1465.5,5481774
2024-09-17,1468.14,1471.6,1460.79,1466.44,5935328
2024-09-18,1464.15,1476.1,1454.74,1457.63,8574714
2024-09-19,1460.42,1470.63,1449.76,1463.83,16955902
2024-09-20,1468.14,1489.05,1465.52,1480.01,30897320
2024-09-23,1485.07,1495.53,1483.03,1487.43,8832314
2024-09-24,1482.58,1494.53,1481.96,1483.45,17137444
2024-09-25,1478.0,1490.55,1474.31,1488.01,7069002
2024-09-26,1484.72,1498.02,1482.13,1491.99,18818998
2024-09-27,1493.04,1527.37,1486.06,1520.1,20597478
2024-09-30,1513.36,1518.91,1468.53,1470.7,27008814
2024-10-01,1474.76,1482.03,1457.01,1459.0,16431642
2024-10-03,1430.86,1443.63,1396.5,1401.38,37757294
2024-10-04,1398.34,1411.71,1376.28,1381.01,37072876
2024-10-07,1387.96,1390.94,1355.96,1365.27,22181340
2024-10-08,1367.51,1395.43,1359.67,1391.79,17020808
2024-10-09,1391.97,1395.4,1367.04,1369.13,14310610
2024-10-10,1374.54,1380.49,1363.98,1365.6,22358646
2024-10-11,1364.55,1377.77,1363.38,1366.64,7980122
2024-10-14,1373.96,1374.58,1362.81,1367.07,12221432
2024-10-15,1353.12,1366.24,1335.37,1338.68,33762794
2024-10-16,1334.67,1358.57,1332.3,1348.69,20034438
2024-10-17,1360.27,1363.01,1346.67,1351.03,15543660
2024-10-18,1346.8,1362.98,1335.99,1353.89,12082452
2024-10-21,1361.69,1368.53,1352.32,1363.75,14067408
2024-10-22,1363.75,1370.53,1334.89,1338.01,15831960
2024-10-23,1332.18,1352.07,1329.69,1333.2,17214742
2024-10-24,1329.96,1338.35,1317.86,1334.47,22155934
2024-10-25,1338.16,1339.0,1316.74,1322.57,18597496
2024-10-28,1331.68,1347.62,1316.84,1329.04,10824350
2024-10-29,1322.82,1337.86,1315.05,1334.67,12008361
2024-10-30,1329.69,1344.63,1320.08,1338.55,11984423
2024-10-31,1334.67,1337.66,1320.87,1326.75,9331650
2024-11-01,1327.75,1336.61,1327.7,1333.32,2127335
2024-11-04,1332.53,1334.67,1279.99,1296.97,19796890
2024-11-05,1287.86,1304.34,1281.03,1300.11,16267479
2024-11-06,1304.79,1323.02,1295.03,1320.08,21625209
2024-11-07,1318.73,1318.73,1297.42,1300.46,9611974
2024-11-08,1292.49,1296.47,1269.93,1278.64,19814406
2024-11-11,1273.86,1280.88,1261.96,1267.64,9056552
2024-11-12,1270.48,1284.17,1262.46,1269.18,10671091
2024-11-13,1265.2,1270.38,1244.53,1247.07,14633633
2024-11-14,1248.61,1267.54,1246.12,1262.56,12612633
2024-11-18,1262.56,1267.84,1238.95,1255.73,13620611
2024-11-19,1255.73,1276.4,1230.24,1236.71,14183746
2024-11-21,1236.71,1239.0,1212.41,1218.13,19433843
2024-11-22,1224.51,1263.8,1217.59,1260.37,20471957
2024-11-25,1284.87,1299.26,1277.35,1281.88,28923341
